place_id,name,image_urls,address,duration,type,categories,main_image,price,rating,description,opening_hours,reviews,city,unit
place_000000,Gallery27,['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/99/af/1d/getlstd-property-photo.jpg'],Reach out directlyVisit websiteCall,9 min,Attraction,"['Ancient Ruins in Hanoi', 'Also popular with travelers', 'Battlefields in Hanoi', 'Architectural Buildings in Hanoi', 'See all']",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/99/af/1d/getlstd-property-photo.jpg,86.0,5.0, , , ,hanoi,$
place_000001,1960 Cafe,['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/1f/fa/3d/getlstd-property-photo.jpg'], ,2 miN,Attraction,"['Cigar Bars in Hanoi', 'Bars & Clubs in Hanoi', 'Also popular with travelers', 'See all', 'Blues Bars in Hanoi']",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/1f/fa/3d/getlstd-property-photo.jpg,86.0,5.0,"Live music cafe & bar in industrial vintage style is set in a hot previously abandoned pharmaceutical factory complex Zone9, a new very popular area for expats in Hanoi. The venue can be easily seen from the gates. Stay for a good cup of coffee in daytime and come to have great atmosphere with live music on weekends. Open daily from 9:30am to midnight.", , ,hanoi,$
place_000002,Grandpa's Garden, , ,1 hour,Attraction,"['Bus Tours in Hanoi', 'Sightseeing Tours in Hanoi', 'Also popular with travelers', 'Factory Tours in Hanoi', 'See all']", ,86.0,5.0,"Join us to make natural soap from Vietnamese Herbs. In the soap making session, we will use Vietnam's specialties such as coffee, cajeput oil and gac oil. The demonstration will take place in 54 Quan Su street, house of late musician Do Xuan Oanh, composer of Vietnam's hictoric song ""August Nineteenth"". The song marks the first day of August Revolution, which ended with Vietnam's National Day.", , ,hanoi,$
place_000003,Chuong Tailor,['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/19/fa/1e/getlstd-property-photo.jpg'], ,1 hour,Attraction,"['Art Galleries in Hanoi', 'Antique Shops in Hanoi', 'Also popular with travelers', 'Department Stores in Hanoi', 'See all']",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/19/fa/1e/getlstd-property-photo.jpg,86.0,5.0,"Chuong is an established and famous tailor in Vietnam founded by Mr. Duong Van Chuong in 1968, who dedicated his entire life to custom tailoring works, always searching for the beauty of fashion. His hard work and sacrifices finally paid dividends when he was awarded Tailoring Artist by the State Council of Vietnam. Heritage, Craftmanship and Creative are all in each Chuong suits!", , ,hanoi,$
place_000004,"Bactrungnamtravel (Hanoi, Vietnam): Address, Phone Number - Tripadvisor", , , ,Attraction,"['Bus Tours in Hanoi', 'Walking Tours in Hanoi', 'Sightseeing Tours in Hanoi', 'Segway Tours in Hanoi', 'Factory Tours in Hanoi']", ,55.0,4.9,"Firstly, we wish you all well and have an excellent time during your stay in Vietnam With the continual efforts since its establishment in 2008, Bactrungnamtravel has been growing as one of the best tourism companies in Vietnam. With our profound local knowledge, experienced staff and excellent political and local connections to help expedite the approval and regulatory process, we are the bes", , ,hanoi,$
place_000005,NPT Transfer Service,['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/cf/2a/e2/getlstd-property-photo.jpg'], ,1 hour,Attraction,"['Public Transportation Systems in Hanoi', 'Bus Services in Hanoi', 'Taxis & Shuttles in Hanoi', 'Also popular with travelers', 'See all']",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/cf/2a/e2/getlstd-property-photo.jpg,86.0,5.0,"Noi Bai Private Transfer ( NPT ) is established with its mission to bring satisfaction in service quality for customers. With new cars models, our company is confident to bring the best quality of services, the most competitive price to satisfy your requirements. Our company owns professional and experienced drivers staff which will bring you safety and comfort during the journey", , ,hanoi,$
place_000006,Khac Ten,['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/d7/9f/f6/getlstd-property-photo.jpg'], ,1 hour,Attraction,"['Art Galleries in Hanoi', 'Antique Shops in Hanoi', 'Also popular with travelers', 'Department Stores in Hanoi', 'See all']",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/d7/9f/f6/getlstd-property-photo.jpg,86.0,5.0,"Leather decor for tech gadgets like smartphone, tablets, laptop, camera... Leather cover for your passport and other stuffs.", , ,hanoi,$
place_000007,Hanoi Morgans Spa,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/bc/0d/49/treatment-room.jpg', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/bc/0c/85/spa-products.jpg']", ,2-3 hours,Attraction,"['Also popular with travelers', 'Hammams & Turkish Baths in Hanoi', 'Health Clubs in Hanoi', 'See all', 'Onsen Resorts in Hanoi']",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/bc/0d/49/treatment-room.jpg,86.0,5.0, ,9:00 AM - 10:30 PM, ,hanoi,$
place_000008,Le Chalet Café,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/cf/4f/8d/mint-honey-in-different.jpg', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/cf/4f/f6/jute-bag-for-laptops.jpg', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/cf/4f/e4/jute-products.jpg']", ,1 hour,Attraction,"['Art Galleries in Hanoi', 'Antique Shops in Hanoi', 'Also popular with travelers', 'Department Stores in Hanoi', 'See all']",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/cf/4f/8d/mint-honey-in-different.jpg,86.0,5.0,"Le Chalet Cafe is a gift shop that keeps the community in heart. The shop offers wide range of unique and beautiful gifts in an ethical, delightful and sustainable approach made by the Vietnamese local producers, while supporting them and their communities through social projects in education and environment.", , ,hanoi,$
place_000009,LeChat Studio,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/04/45/36/lechat-studio.jpg', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/04/45/33/lechat-studio.jpg']", ,3 miN,Attraction,"['Art Galleries in Hanoi', 'Antique Shops in Hanoi', 'Also popular with travelers', 'Department Stores in Hanoi', 'See all']",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/04/45/36/lechat-studio.jpg,86.0,5.0,"LECHAT silk is a family business which has rich experience of trimming, piping, embroidering, and beading on pure habotai silk by hand stitching in Vietnam.",9:00 AM - 10:00 PM, ,hanoi,$
